nom,type,address,cp,ville,region,telephone,email,site,desc
CAMBRAI HOCKEY CLUB,Hockey sur Gazon,,59400,CAMBRAI,Hauts-de-France,,presidents@cambraihockeyclub.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
CERCLE BOXING CLUB,Boxe Française,,92350,LE PLESSIS-ROBINSON,Île-de-France,,savateleplessis92@gmail.com,https://boxing-plessis.fr/,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
CERCLE D'ESCRIME DE LAVAUR,Escrime,12 avenue A. Malroux,81500,LAVAUR,Occitanie,0623332237,escrimelavaur@gmail.com,http://www.lavaur-escrime.fr,Réservation obligatoire. Une séance offerte sur remise du pass. Offre non cumulable pour une même personne. A partir de 7 ans.
CERCLE D'ESCRIME DE PITHIVIERS,Escrime,Gymnase Pasteur Boulevard Pasteur,45300,PITHIVIERS,Centre-Val de Loire,0617815187,cepithiviers@gmail.com,,Réservation obligatoire. Une séance offerte sur remise du pass (lundi soir hors vacances scolaires). Offre non cumulable pour une même personne. A partir de 8 ans.
CERCLE KOUROUCIEN SAVATE,Boxe Française,,97310,KOUROU,Guyane,0594322876,jose.golitin@wanadoo.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
CHATEAUBOURG HOCKEY CLUB,Hockey sur Gazon,,35220,CHATEAUBOURG,Bretagne,,chateaubourg.hc@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
CHCD COMINES,Haltérophilie,,59560,COMINES,Hauts-de-France,,jc.defrance@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
CHINON A.S.C.A.R.,Tir à l'arc,,37500,ANCHÉ,Centre-Val de Loire,,ascarchinon@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
CHM CHATEAUROUX,Haltérophilie,,36000,CHATEAUROUX,Centre-Val de Loire,0254228614,halteroforce-chateauroux@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
CHM LE TRAIT,Haltérophilie,,76580,LE TRAIT,Normandie,0648565398,president@chmt.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
CIE D'ARC DE CHAMBLY,Tir à l'arc,,60230,CHAMBLY,Hauts-de-France,,compagnie@chamblyarc.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
CIE D'ARC ROMAINVILLE,Tir à l'arc,,93230,ROMAINVILLE,Île-de-France,,petitbebemanu@hotmail.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
CIE DES ARCHERS DE BRIVE,Tir à l'arc,,19100,BRIVE-LA-GAILLARDE,Nouvelle-Aquitaine,,ciearchersdebrive@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
CIE DES ARCHERS DE THUIT SIGNOL,Tir à l'arc,,27370,LE THUIT DE L'OISON,Normandie,,cats.thuitsignol@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
CIE DES ARCHERS DU ROY DE NERAC EN VAL D ALBRET,Tir à l'arc,,47600,NÉRAC,Nouvelle-Aquitaine,,wachohd@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
CLÉMONT,Jeu de piste ludique,,18410,CLEMONT,Centre-Val de Loire,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
CLEPPÉ,Jeu de piste ludique,,42110,CLEPPE,Auvergne-Rhône-Alpes,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
CLUB ATHLETIQUE LEXOVIEN DE HOCKEY,Hockey sur Gazon,,14100 ,LISIEUX,Normandie,,contact@lisieuxhockey.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
CLUB DE CALVI BALAGNE,Tir à l'arc,,20260,CALVI,Corse,,arcbalagne@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
CLUB HALTEROPHILIE RAPTOR,Haltérophilie,,97419,LA POSSESSION,La Réunion ,,jeromevaglio@icloud.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
CLUB OMNISPORTS CHATEAU DU LOIR,Badminton,,72500,CHATEAU DU LOIR,Pays de la Loire,,charles.hubert72@free.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
COMITÉ DÉPARTEMENT DU SPORT EN MILIEU RURAL 77,Sport Santé,,77320,LA FERTE-GAUCHER,Île-de-France,0646661859,contact@sportrural77.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
COMME UN JEU DE PISTE À AGON-COUTAINVILLE,Jeu de piste ludique,,50230,AGON-COUTAINVILLE,Normandie,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À AMBOISE,Jeu de piste ludique,,37400,AMBOISE,Centre-Val de Loire,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À AUBIGNY-SUR-NÈRE,Jeu de piste ludique,,18700,AUBIGNY-SUR-NÈRE,Centre-Val de Loire,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À BEAUVAIS,Jeu de piste ludique,,60000,BEAUVAIS,Hauts-de-France,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À COLLONGES SOUS SALÈVE,Jeu de piste ludique,,74160,COLLONGES-SOUS-SALÈVE,Auvergne-Rhône-Alpes,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À JOUX,Jeu de piste ludique,,69170,JOUX,Auvergne-Rhône-Alpes,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À LA BARRE DE MONTS,Jeu de piste ludique,,85550,LA BARRE DE MONTS,Pays de la Loire,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À LESCAR,Jeu de piste ludique,,64230,LESCAR,Nouvelle-Aquitaine,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À LOURDES,Jeu de piste ludique,,65100,LOURDES,Occitanie,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE A MELGVEN,Jeu de piste ludique,,29140,MELGVEN,Bretagne,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À MEYMAC - LE MONT BESSOU,Jeu de piste ludique,,19250,MEYMAC - LE MONT BESSOU,Nouvelle-Aquitaine,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À MONTBRISON,Jeu de piste ludique,,42600,MONTBRISON,Auvergne-Rhône-Alpes,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À MOREZ,Jeu de piste ludique,,39400,MOREZ,Bourgogne-Franche-Comté,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À RULLY,Jeu de piste ludique,,71150,RULLY,Bourgogne-Franche-Comté,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À SAINT-BONNET-LES-OULES,Jeu de piste ludique,,42330,SAINT-BONNET-LES-OULES,Auvergne-Rhône-Alpes,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À SAINT-JULIEN-CHAPTEUIL,Jeu de piste ludique,,43260,SAINT-JULIEN-CHAPTEUIL,Auvergne-Rhône-Alpes,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À SARZEAU,Jeu de piste ludique,,56370,SARZEAU,Bretagne,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À STRUTH,Jeu de piste ludique,,67290,STRUTH,Grand Est,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À SURY-EN-VAUX,Jeu de piste ludique,,18300,SURY-EN-VAUX,Centre-Val de Loire,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À TRACY-LE-MONT,Jeu de piste ludique,,60170,TRACY-LE-MONT,Hauts-de-France,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À VAILLY-SUR-SAULDRE,Jeu de piste ludique,,18260,VAILLY-SUR-SAULDRE,Centre-Val de Loire,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UN JEU DE PISTE À VILLEFRANCHE-DE-PANAT,Jeu de piste ludique,,12430,VILLEFRANCHE-DE-PANAT,Occitanie,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMME UNE CHASSE AU TRÉSOR À CHARMES ,Jeu de piste ludique,,88130,CHARMES,Grand Est,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COMPAGNIE D'ARC DE VERNON,Tir à l'arc,,27200,VERNON,Normandie,,cavernon27@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
COMPAGNIE D'ARC VILLIERS LE BEL,Tir à l'arc,,95400,ARNOUVILLE,Île-de-France,,compagniedarcvillierslebel@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
CORDES-TOLOSANNES EN FAMILLE,Jeu de piste ludique,,82700,CORDES-TOLOSANNES,Occitanie,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
COSMA BADMINTON SAINT LAURENT DU MARONI,Badminton,,97320,SAINT LAURENT DU MARONI,Guyane,,akalepjo.pat@hotmail.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
CROSSFIT SAINT SIMON,Haltérophilie,,31500,TOULOUSE,Occitanie,0623572289,raphaeldurand2a@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
CSM GENNEVILLOIS HALTEROPHILIE,Haltérophilie,,92230,GENNEVILLIERS,Île-de-France,0667460091,csmg.haltero@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
DES COLLINES SÈCHES AUX ÉTANGS,Jeu de piste ludique,,11130,SIGEAN ,Occitanie,,contact@les-challenges-bn.fr,http://www.randoland.fr/bn,"Recevez un code pour télécharger ce parcours et deux autres dans la région de votre choix. Chaque parcours comprend une carte pour se repérer, des jeux à réaliser durant la randonnée pour vitaminer le cerveau et des indices à trouver en observant autour de vous ! Les randonnées se font en autonomie pour s'amuser tout en vivant un moment de partage. Les jeux de piste proposés sont adaptées à l’âge de l’enfant (4/6 ans 7/9 ans et + de 10 ans)."
DIJON UNIVERSITE CLUB,Boxe Française,,21000,DIJON,Bourgogne-Franche-Comté,,corpat@free.fr,http://www.duc-bf.fr/,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
DOJO DES ARTS MARTIAUX DE TALANGE,Judo,23 rue des Colombes,57525,TALANGE,Grand Est,0664296623,jcpavan57@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
DOJO DES ARTS MARTIAUX DE TALANGE,Qi Gong,23 rue des Colombes,57525,TALANGE,Grand Est,0664296623,jcpavan57@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 16 ans.
DOJO DES ARTS MARTIAUX DE TALANGE,Taïchi,23 rue des Colombes,57525,TALANGE,Grand Est,0664296623,jcpavan57@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 16 ans.
DOJO DES ARTS MARTIAUX DE TALANGE,Yoga,Rue Maurice Boquet,57525,TALANGE,Grand Est,0664296623,jcpavan57@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 12 ans.
DUNKERQUE GUILLAUME TELL,Tir à l'arc,,59430,DUNKERQUE,Hauts-de-France,,segolene.eric@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
E.A.C. SAVATE,Boxe Française,,27000,ÉVREUX,Normandie,0233697994,de-pestel.christine@orange.fr,http://www.eacsavate.fr,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
ENTENTE SAINT SEBASTIEN,Tir à l'arc,,59120,LOOS,Hauts-de-France,,loostiralarc@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
ENTRE SPORT ET COMBAT ,Kick Boxing,,76400,FECAMP,Normandie,0689341313,basdam@live.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
ESPRIT SAVATE BOXE FRANCAISE,Boxe Française,,59480,LA BASSÉE,Hauts-de-France,,esprit.sbf@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
ETOILE ANGERS YANKEES,Cheerleading,Stade Marcel Nauleau,49000,ANGERS,Pays de la Loire,,102@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
ETOILE CYCLISTE MAYENNAISE,Cyclisme ,11 bis rue de la davière,53100,MAYENNE,Pays de la Loire,0243042983,ecmayenne@bbox.fr,https://www.etoile-cycliste-mayennaise.fr/,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. Mercredi et samedi de 14h à 16h. Port  casque et gants obligatoires. A partir de 5 ans.
FAISANS DU PARC,Badminton,,94290,VILLENEUVE-LE-ROI,Île-de-France,0145970916,faisanduparc@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
FAISANS DU PARC,Tennis,,94290,VILLENEUVE-LE-ROI,Île-de-France,0145970916,faisanduparc@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
FAISANS DU PARC,Tennis de Table,,94290,VILLENEUVE-LE-ROI,Île-de-France,0145970916,faisanduparc@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
FOREY RURAL JEP,Tennis de Table,,59189,STEENBECQUE,Hauts-de-France,0685223944,Boulangerregis2@outlook.fr ,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
FOREY RURAL JEP,Tir à l'arc,,59189,STEENBECQUE,Hauts-de-France,0685223944,Boulangerregis2@outlook.fr ,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
FOX DE CHANTILLY,Football Américain,Stade des Bourgognes,60500,CHANTILLY,Hauts-de-France,,320@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
FOYER DES JEUNES JEAN VILAR,Tir à l'arc,,10110,BAR-SUR-SEINE,Grand Est,,archers.bar.sur.seine@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
FOYER RURAL DE BAIXAS,Rythme en famille,,66390,BAIXAS,Occitanie,0695033467,foyerruralbaixas66390@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 10 ans.
GAGNY ESCRIME LE CONTRE TEMPS,Escrime,Arena de Gagny,93220,GAGNY,Île-de-France,0660517459,fufillion@free.fr,http://www.gagny-escrime.org,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. Tenue de sport et bouteille d'eau à prévoir. A partir de 7 ans.
GÉMENOS ESCRIME CLUB,Escrime,Espace A. Giraldi – Avenue César Baldaccini,13420,GEMENOS,Provence-Alpes-Côte d'Azur,0673945727,jeremy.yann@neuf.fr,http://www.gemenosescrimeclub.fr,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. Jours et horaires précisées par le Maître d'Armes. A partir de 7 ans.
GONES DE LYON FFC,Flag Football,Stade de la Sarra,69006,LYON,Auvergne-Rhône-Alpes,,310@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
HALTERO CLUB MONTILIEN,Haltérophilie,,26200,MONTELIMAR,Auvergne-Rhône-Alpes,0678654593,halteroclubmontilien@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
HALTEROPHILIE CLUB DE POINTE A PITRE 971,Haltérophilie,,97110,POINTE-À-PITRE,	Guadeloupe,,jean-claude.Collinot@orange.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
